x,beta,se,outcome,iter,placebo
0,0,0,building_footprint,NA,0
1,11.870162797880683,5.783589657987327,building_footprint,NA,0
2,19.159072372139242,9.185194001032032,building_footprint,NA,0
3,21.31085809877206,9.385360740618014,building_footprint,NA,0
NA,7.856514122854867,2.8546352608631067,building_footprint,NA,0
0,0,0,building_footprint,0,1
1,5.91087040422453,NA,building_footprint,0,1
2,1.9039250061904776,NA,building_footprint,0,1
3,4.37264162167048,NA,building_footprint,0,1
0,0,0,building_footprint,1,1
1,8.371585266525969,NA,building_footprint,1,1
2,-6.576013311612022,NA,building_footprint,1,1
3,12.134235255112005,NA,building_footprint,1,1
0,0,0,building_footprint,2,1
1,2.8418689707626075,NA,building_footprint,2,1
2,-6.350112305431854,NA,building_footprint,2,1
3,-13.011857556528089,NA,building_footprint,2,1
0,0,0,building_footprint,3,1
1,4.841582024096233,NA,building_footprint,3,1
2,-6.179542979968746,NA,building_footprint,3,1
3,2.401305360279532,NA,building_footprint,3,1
0,0,0,building_footprint,4,1
1,5.462484642881727,NA,building_footprint,4,1
2,-16.382456843411912,NA,building_footprint,4,1
3,1.1594654758753975,NA,building_footprint,4,1
0,0,0,building_footprint,5,1
1,4.142277636377006,NA,building_footprint,5,1
2,16.68190054380539,NA,building_footprint,5,1
3,3.701061019750628,NA,building_footprint,5,1
0,0,0,building_footprint,6,1
1,-0.44859368694883195,NA,building_footprint,6,1
2,2.6443872307228116,NA,building_footprint,6,1
3,4.231057945967844,NA,building_footprint,6,1
0,0,0,building_footprint,7,1
1,-4.701718810312374,NA,building_footprint,7,1
2,-5.298184155765046,NA,building_footprint,7,1
3,-2.2592172371071877,NA,building_footprint,7,1
0,0,0,building_footprint,8,1
1,11.38679645169513,NA,building_footprint,8,1
2,-4.607931333404915,NA,building_footprint,8,1
3,-10.615634963465432,NA,building_footprint,8,1
0,0,0,building_footprint,9,1
1,-4.955369257938925,NA,building_footprint,9,1
2,4.377779386478966,NA,building_footprint,9,1
3,-9.674700833010512,NA,building_footprint,9,1
0,0,0,building_footprint,10,1
1,6.028079470897478,NA,building_footprint,10,1
2,9.494903368082994,NA,building_footprint,10,1
3,20.71653183127259,NA,building_footprint,10,1
0,0,0,building_footprint,11,1
1,-1.9861772555358266,NA,building_footprint,11,1
2,3.668406738147235,NA,building_footprint,11,1
3,21.50875018747413,NA,building_footprint,11,1
0,0,0,building_footprint,12,1
1,-8.481504031217863,NA,building_footprint,12,1
2,-8.008227064809555,NA,building_footprint,12,1
3,5.6929197653341435,NA,building_footprint,12,1
0,0,0,building_footprint,13,1
1,11.179633942759251,NA,building_footprint,13,1
2,-3.3855718752070185,NA,building_footprint,13,1
3,-18.39191485657993,NA,building_footprint,13,1
0,0,0,building_footprint,14,1
1,-6.7352984729665915,NA,building_footprint,14,1
2,-5.486926417553644,NA,building_footprint,14,1
3,-18.080586031465028,NA,building_footprint,14,1
0,0,0,building_footprint,15,1
1,-6.130382960248061,NA,building_footprint,15,1
2,3.3437584070164847,NA,building_footprint,15,1
3,-3.316969300135954,NA,building_footprint,15,1
0,0,0,building_footprint,16,1
1,8.621212535775895,NA,building_footprint,16,1
2,13.13321114797107,NA,building_footprint,16,1
3,4.6137898180733545,NA,building_footprint,16,1
0,0,0,building_footprint,17,1
1,-3.4285070999208735,NA,building_footprint,17,1
2,-16.740035727060977,NA,building_footprint,17,1
3,4.882726427056934,NA,building_footprint,17,1
0,0,0,building_footprint,18,1
1,-6.441137218910409,NA,building_footprint,18,1
2,-4.427205606410081,NA,building_footprint,18,1
3,-9.567168267419401,NA,building_footprint,18,1
0,0,0,building_footprint,19,1
1,-2.2168668499491226,NA,building_footprint,19,1
2,-2.7332266054451377,NA,building_footprint,19,1
3,-7.8155687481565685,NA,building_footprint,19,1
