lon,lat,treatment_intensity,building_footprint,tin_roof_area,night_light
34.2575,-0.0475,0-3,0%-1%,0%-1%,0.0-0.4
34.2575,-0.0425,0-3,1%-2%,0%-1%,0.0-0.4
34.2625,-0.0425,0-3,0%-1%,0%-1%,0.0-0.4
34.2675,-0.0425,4-6,1%-2%,0%-1%,0.0-0.4
34.2625,-0.0375,0-3,0%-1%,0%-1%,0.0-0.4
34.2675,-0.0375,0-3,0%-1%,0%-1%,0.0-0.4
34.2725,-0.0375,7-9,1%-2%,0%-1%,0.0-0.4
34.2925,-0.0375,4-6,0%-1%,0%-1%,0.0-0.4
34.2975,-0.0375,10-12,0%-1%,0%-1%,0.0-0.4
34.3025,-0.0375,7-9,0%-1%,0%-1%,0.0-0.4
34.3125,-0.0375,0-3,0%-1%,0%-1%,0.0-0.4
34.2625,-0.0325,0-3,0%-1%,0%-1%,0.0-0.4
34.2675,-0.0325,0-3,0%-1%,0%-1%,0.0-0.4
34.2725,-0.0325,0-3,1%-2%,0%-1%,0.0-0.4
34.2925,-0.0325,0-3,1%-2%,1%-2%,0.0-0.4
34.2975,-0.0325,10-12,0%-1%,0%-1%,0.0-0.4
34.3025,-0.0325,4-6,2%-3%,1%-2%,0.0-0.4
34.3125,-0.0325,0-3,0%-1%,0%-1%,0.0-0.4
34.3175,-0.0325,4-6,0%-1%,0%-1%,0.0-0.4
34.3225,-0.0325,13-,1%-2%,0%-1%,0.0-0.4
34.3375,-0.0325,0-3,0%-1%,0%-1%,0.0-0.4
34.2575,-0.0275,0-3,0%-1%,0%-1%,0.0-0.4
34.2625,-0.0275,0-3,0%-1%,0%-1%,0.0-0.4
34.2675,-0.0275,0-3,0%-1%,0%-1%,0.0-0.4
34.2725,-0.0275,0-3,1%-2%,0%-1%,0.0-0.4
34.2775,-0.0275,0-3,1%-2%,0%-1%,0.0-0.4
34.2875,-0.0275,7-9,0%-1%,0%-1%,0.0-0.4
34.2925,-0.0275,4-6,0%-1%,0%-1%,0.0-0.4
34.3075,-0.0275,0-3,0%-1%,0%-1%,0.4-0.8
34.3125,-0.0275,0-3,2%-3%,1%-2%,0.0-0.4
34.3175,-0.0275,7-9,1%-2%,1%-2%,0.0-0.4
34.3225,-0.0275,10-12,1%-2%,1%-2%,0.0-0.4
34.3375,-0.0275,0-3,1%-2%,0%-1%,0.0-0.4
34.3425,-0.0275,0-3,0%-1%,0%-1%,0.0-0.4
34.3575,-0.0275,0-3,0%-1%,0%-1%,0.0-0.4
34.2525,-0.0225,0-3,1%-2%,1%-2%,0.0-0.4
34.2575,-0.0225,13-,1%-2%,1%-2%,0.0-0.4
34.2625,-0.0225,0-3,1%-2%,0%-1%,0.0-0.4
34.2725,-0.0225,0-3,0%-1%,0%-1%,0.0-0.4
34.2825,-0.0225,10-12,3%-4%,1%-2%,0.0-0.4
34.2875,-0.0225,13-,1%-2%,0%-1%,0.0-0.4
34.2925,-0.0225,4-6,0%-1%,0%-1%,0.0-0.4
34.2975,-0.0225,13-,1%-2%,0%-1%,0.0-0.4
34.3125,-0.0225,0-3,1%-2%,0%-1%,0.0-0.4
34.3175,-0.0225,13-,1%-2%,0%-1%,0.0-0.4
34.3225,-0.0225,7-9,1%-2%,1%-2%,0.0-0.4
34.3325,-0.0225,0-3,0%-1%,0%-1%,0.0-0.4
34.3375,-0.0225,0-3,1%-2%,0%-1%,0.0-0.4
